Time	Lead II
0	0
0.01	0
0.02	0
0.03	0
0.04	0
0.05	0
0.06	0
0.07	0
0.08	0
0.09	0
0.1	0
0.11	0
0.12	0
0.13	0
0.14	0
0.15	0
0.16	0
0.17	0
0.18	0
0.19	0
0.2	0
0.21	0
0.22	0
0.23	0
0.24	0
0.25	0
0.26	0
0.27	0
0.28	0
0.29	0
0.3	0
0.31	0
0.32	0
0.33	0
0.34	0
0.35	0
0.36	0
0.37	0
0.38	0
0.39	0
0.4	0
0.41	0
0.42	0
0.43	0
0.44	0
0.45	0
0.46	0
0.47	0
0.48	0
0.49	0
0.5	0
0.51	0
0.52	0
0.53	0
0.54	0
0.55	0
0.56	0
0.57	0
0.58	0
0.59	0
0.6	0
0.61	0
0.62	0
0.63	0
0.64	0
0.65	0
0.66	0
0.67	0
0.68	0
0.69	0
0.7	0
0.71	0
0.72	0
0.73	0
0.74	0
0.75	0
0.76	0
0.77	0
0.78	0
0.79	0
0.8	0
0.81	0
0.82	0
0.83	0
0.84	0
0.85	0
0.86	0
0.87	0
0.88	0
0.89	0
0.9	0
0.91	0
0.92	0
0.93	0
0.94	0
0.95	0
0.96	0
0.97	0
0.98	0
0.99	0
1	0
1.01	0
1.02	0
1.03	0
1.04	0
1.05	0
1.06	0
1.07	0
1.08	0
1.09	0
1.1	0
1.11	0
1.12	0
1.13	0
1.14	0
1.15	0
1.16	0
1.17	0
1.18	0
1.19	0
1.2	0
1.21	0
1.22	0
1.23	0
1.24	0
1.25	0
1.26	0
1.27	0
1.28	0
1.29	0
1.3	0
1.31	0
1.32	0
1.33	0
1.34	0
1.35	0
1.36	0
1.37	0
1.38	0
1.39	0
1.4	0
1.41	0
1.42	0
1.43	0
1.44	0
1.45	0
1.46	0
1.47	0
1.48	0
1.49	0
1.5	0
1.51	0
1.52	0
1.53	0
1.54	0
1.55	0
1.56	0
1.57	0
1.58	0
1.59	0
1.6	0
1.61	0
1.62	0
1.63	0
1.64	0
1.65	0
1.66	0
1.67	0
1.68	0
1.69	0
1.7	0
1.71	0
1.72	0
1.73	0
1.74	0
1.75	0
1.76	0
1.77	0
1.78	0
1.79	0
1.8	0
1.81	0
1.82	0
1.83	0
1.84	0
1.85	0
1.86	0
1.87	0
1.88	0
1.89	0
1.9	0
1.91	0
1.92	0
1.93	0
1.94	0
1.95	0
1.96	0
1.97	0
1.98	0
1.99	0
2	-0.00482259
2.01	0.10202
2.02	0.333951
2.03	0.406168
2.04	0.359944
2.05	0.362469
2.06	0.330624
2.07	0.365647
2.08	0.383279
2.09	0.373743
2.1	0.410226
2.11	0.403596
2.12	0.437402
2.13	0.422464
2.14	0.381329
2.15	0.383413
2.16	0.319856
2.17	0.315227
2.18	0.292384
2.19	0.25749
2.2	0.276457
2.21	0.246378
2.22	0.264165
2.23	0.246447
2.24	0.233368
2.25	0.364364
2.26	0.597293
2.27	0.732619
2.28	0.569888
2.29	0.275161
2.3	0.155758
2.31	0.100766
2.32	0.130216
2.33	0.150258
2.34	0.119933
2.35	0.148923
2.36	0.108417
2.37	0.109356
2.38	0.114936
2.39	0.069484
2.4	0.0839251
2.41	0.0473673
2.42	0.0643349
2.43	0.0697336
2.44	0.046155
2.45	0.0990479
2.46	0.0825983
2.47	0.0985545
2.48	0.1127
2.49	0.10178
2.5	0.145275
2.51	0.113944
2.52	0.130983
2.53	0.141702
2.54	0.113398
2.55	0.129397
2.56	0.0728255
2.57	0.0755554
2.58	0.0632345
2.59	0.0207145
2.6	0.0418859
2.61	0.000114546
2.62	0.0173352
2.63	0.0201551
2.64	-4.29747e-05
2.65	0.0500233
2.66	0.0356053
2.67	0.0680278
2.68	0.0751228
2.69	0.0566218
2.7	0.106205
2.71	0.080478
2.72	0.0999109
2.73	0.122685
2.74	0.110214
2.75	0.136196
2.76	0.092235
2.77	0.100358
2.78	0.10028
2.79	0.080902
2.8	0.110776
2.81	0.0874636
2.82	0.119022
2.83	0.121529
2.84	0.113609
2.85	0.165228
2.86	0.142306
2.87	0.155301
2.88	0.138116
2.89	0.0895287
2.9	0.0826737
2.91	0.0164723
2.92	0.0161263
2.93	0.00717236
2.94	-0.0240261
2.95	-0.00603182
2.96	-0.0448118
2.97	-0.0326728
2.98	-0.0143126
2.99	0.0701242
3	0.304939
3.01	0.403118
3.02	0.299077
3.03	0.0510223
3.04	-0.116288
3.05	-0.103652
3.06	-0.102792
3.07	-0.0532164
3.08	-0.0490579
3.09	-0.0686532
3.1	-0.0239177
3.11	0.0159879
3.12	0.0354033
3.13	0.00933605
3.14	-0.0462322
3.15	-0.0172212
3.16	-0.0443203
3.17	-0.0205324
3.18	0.00341134
3.19	-0.00472323
3.2	0.0449137
3.21	0.0259683
3.22	0.0534632
3.23	0.0735394
3.24	0.0585624
3.25	0.111724
3.26	0.0920226
3.27	0.104352
3.28	0.1058
3.29	0.0726248
3.3	0.0835513
3.31	0.026616
3.32	0.0192039
3.33	-0.000659158
3.34	-0.0354222
3.35	-0.00168314
3.36	-0.032929
3.37	-0.027282
3.38	-0.0277023
3.39	-0.0424761
3.4	-0.00345809
3.41	-0.0349415
3.42	-0.0247005
3.43	-0.0117081
3.44	-0.0149619
3.45	0.018436
3.46	-0.0174464
3.47	0.00975474
3.48	0.0169384
3.49	-0.00267251
3.5	0.026702
3.51	-0.00655833
3.52	0.0145141
3.53	0.0232446
3.54	0.0043461
3.55	0.0274216
3.56	-0.00480835
3.57	0.0359054
3.58	0.0554522
3.59	0.0614369
3.6	0.123628
3.61	0.101833
3.62	0.116288
3.63	0.0980898
3.64	0.0508929
3.65	0.0532834
3.66	-0.000624651
3.67	-0.0056319
3.68	-0.0153318
3.69	-0.0302879
3.7	-0.0020413
3.71	-0.0544823
3.72	-0.109653
3.73	-0.0780807
3.74	0.00716725
3.75	0.237104
3.76	0.395908
3.77	0.363904
3.78	0.140605
3.79	-0.0805161
3.8	-0.108563
3.81	-0.109866
3.82	-0.0582514
3.83	-0.0378003
3.84	-0.0755652
3.85	-0.0419322
3.86	-0.0724137
3.87	-0.0627291
3.88	-0.0556089
3.89	-0.081825
3.9	-0.0472574
3.91	-0.0789343
3.92	-0.063619
3.93	-0.0519606
3.94	-0.0678579
3.95	-0.0225099
3.96	-0.0360597
3.97	0.00412729
3.98	0.0293089
3.99	0.021891
4	0.0728253
4.01	0.0486162
4.02	0.067737
4.03	0.0771771
4.04	0.0440087
4.05	0.0569431
4.06	0.00470145
4.07	0.000853304
4.08	-0.00648212
4.09	-0.0402867
4.1	-0.0169528
4.11	-0.0530842
4.12	-0.0313163
4.13	-0.0180464
4.14	-0.032409
4.15	0.00620041
4.16	-0.0238843
4.17	0.00448781
4.18	0.0243301
4.19	0.0121008
4.2	0.041174
4.21	0.00534868
4.22	0.0262564
4.23	0.0342692
4.24	0.0192429
4.25	0.0519154
4.26	0.0101743
4.27	0.0192797
4.28	0.0262724
4.29	0.0116121
4.3	0.035981
4.31	-0.00475386
4.32	0.0112771
4.33	0.0136431
4.34	-0.000796257
4.35	0.0379557
4.36	0.0247155
4.37	0.064655
4.38	0.0749038
4.39	0.0534929
4.4	0.0789726
4.41	0.0333767
4.42	0.0260439
4.43	-0.0163215
4.44	-0.0726972
4.45	-0.0598476
4.46	-0.0930682
4.47	-0.0746603
4.48	-0.0887842
4.49	-0.116084
4.5	-0.0938424
4.51	-0.117963
4.52	-0.0135085
4.53	0.160261
4.54	0.303456
4.55	0.281445
